Kota;Provinsi Tujuan;Kota Tujuan;Kecamatan Tujuan;Note;Vendor MTAK 1;Kode MTAK 1;Manifest Tujuan 1;Kode Manifest 1;Vendor MTAK 2;Kode MTAK 2;Manifest Tujuan 2;Kode Manifest 2;Vendor MTAK 3;Kode MTAK 3;Manifest Tujuan 3;Kode Manifest 3;Vendor Dooring;Kode Dooring
NAROGONG;Aceh;Kabupaten Aceh Barat;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kabupaten Aceh Barat Daya;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kabupaten Aceh Selatan;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kabupaten Aceh Singkil;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kabupaten Aceh Tamiang;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kabupaten Aceh Tengah;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kabupaten Aceh Tenggara;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kabupaten Aceh Timur;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kabupaten Aceh Utara;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kabupaten Gayo Lues;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kabupaten Simeulue;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kota Langsa;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kota Lhokseumawe;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kota Subulussalam;;;KSI;MT-JKT-15;INDONE;MB-KNO-02;;;;;;;;;INDONE;MB-KNO-02
NAROGONG;Aceh;Kabupaten Aceh Besar;;;KSI;MT-JKT-15;MAHARANI;MB-BNA-01;;;;;;;;;MAHARANI;MB-BNA-01
NAROGONG;Aceh;Kabupaten Aceh Jaya;;;KSI;MT-JKT-15;MAHARANI;MB-BNA-01;;;;;;;;;MAHARANI;MB-BNA-01
NAROGONG;Aceh;Kabupaten Bener Meriah;;;KSI;MT-JKT-15;MAHARANI;MB-BNA-01;;;;;;;;;MAHARANI;MB-BNA-01
NAROGONG;Aceh;Kabupaten Bireuen;;;KSI;MT-JKT-15;MAHARANI;MB-BNA-01;;;;;;;;;MAHARANI;MB-BNA-01
NAROGONG;Aceh;Kabupaten Nagan Raya;;;KSI;MT-JKT-15;MAHARANI;MB-BNA-01;;;;;;;;;MAHARANI;MB-BNA-01
NAROGONG;Aceh;Kabupaten Pidie;;;KSI;MT-JKT-15;MAHARANI;MB-BNA-01;;;;;;;;;MAHARANI;MB-BNA-01
NAROGONG;Aceh;Kabupaten Pidie Jaya;;;KSI;MT-JKT-15;MAHARANI;MB-BNA-01;;;;;;;;;MAHARANI;MB-BNA-01
NAROGONG;Aceh;Kota Banda Aceh;;;KSI;MT-JKT-15;MAHARANI;MB-BNA-01;;;;;;;;;MAHARANI;MB-BNA-01
NAROGONG;Aceh;Kota Sabang;;;KSI;MT-JKT-15;MAHARANI;MB-BNA-01;;;;;;;;;MAHARANI;MB-BNA-01
NAROGONG;Bali;Kota Denpasar;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
NAROGONG;Bali;Kabupaten Badung;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
NAROGONG;Bali;Kabupaten Bangli;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
NAROGONG;Bali;Kabupaten Buleleng;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
NAROGONG;Bali;Kabupaten Gianyar;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
NAROGONG;Bali;Kabupaten Jembrana;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
NAROGONG;Bali;Kabupaten Karangasem;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
NAROGONG;Bali;Kabupaten Klungkung;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
NAROGONG;Bali;Kabupaten Tabanan;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
PONTIANAK;Bali;Kota Denpasar;;;PSP LOGISTIK;MT-BKS-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PONTIANAK;Bali;Kabupaten Badung;;;PSP LOGISTIK;MT-BKS-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PONTIANAK;Bali;Kabupaten Bangli;;;PSP LOGISTIK;MT-BKS-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PONTIANAK;Bali;Kabupaten Buleleng;;;PSP LOGISTIK;MT-BKS-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PONTIANAK;Bali;Kabupaten Gianyar;;;PSP LOGISTIK;MT-BKS-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PONTIANAK;Bali;Kabupaten Jembrana;;;PSP LOGISTIK;MT-BKS-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PONTIANAK;Bali;Kabupaten Karangasem;;;PSP LOGISTIK;MT-BKS-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PONTIANAK;Bali;Kabupaten Klungkung;;;PSP LOGISTIK;MT-BKS-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PONTIANAK;Bali;Kabupaten Tabanan;;;PSP LOGISTIK;MT-BKS-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANDUNG;Bali;Kota Denpasar;;;BLS CARGO;MT-BDO-01;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANDUNG;Bali;Kabupaten Badung;;;BLS CARGO;MT-BDO-01;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANDUNG;Bali;Kabupaten Bangli;;;BLS CARGO;MT-BDO-01;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANDUNG;Bali;Kabupaten Buleleng;;;BLS CARGO;MT-BDO-01;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANDUNG;Bali;Kabupaten Gianyar;;;BLS CARGO;MT-BDO-01;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANDUNG;Bali;Kabupaten Jembrana;;;BLS CARGO;MT-BDO-01;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANDUNG;Bali;Kabupaten Karangasem;;;BLS CARGO;MT-BDO-01;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANDUNG;Bali;Kabupaten Klungkung;;;BLS CARGO;MT-BDO-01;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANDUNG;Bali;Kabupaten Tabanan;;;BLS CARGO;MT-BDO-01;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PEKANBARU;Bali;Kota Denpasar;;;RDX ;MB-PKU-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MB-DPR-00000
PEKANBARU;Bali;Kabupaten Badung;;;RDX ;MB-PKU-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PEKANBARU;Bali;Kabupaten Bangli;;;RDX ;MB-PKU-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PEKANBARU;Bali;Kabupaten Buleleng;;;RDX ;MB-PKU-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PEKANBARU;Bali;Kabupaten Gianyar;;;RDX ;MB-PKU-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PEKANBARU;Bali;Kabupaten Jembrana;;;RDX ;MB-PKU-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PEKANBARU;Bali;Kabupaten Karangasem;;;RDX ;MB-PKU-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PEKANBARU;Bali;Kabupaten Klungkung;;;RDX ;MB-PKU-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
PEKANBARU;Bali;Kabupaten Tabanan;;;RDX ;MB-PKU-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
SEMARANG;Bali;Kota Denpasar;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
SEMARANG;Bali;Kabupaten Badung;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
SEMARANG;Bali;Kabupaten Bangli;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
SEMARANG;Bali;Kabupaten Buleleng;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
SEMARANG;Bali;Kabupaten Gianyar;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
SEMARANG;Bali;Kabupaten Jembrana;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
SEMARANG;Bali;Kabupaten Karangasem;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
SEMARANG;Bali;Kabupaten Klungkung;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
SEMARANG;Bali;Kabupaten Tabanan;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
Surabaya;Bali;Kota Denpasar;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
Surabaya;Bali;Kabupaten Badung;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
Surabaya;Bali;Kabupaten Bangli;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
Surabaya;Bali;Kabupaten Buleleng;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
Surabaya;Bali;Kabupaten Gianyar;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
Surabaya;Bali;Kabupaten Jembrana;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
Surabaya;Bali;Kabupaten Karangasem;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
Surabaya;Bali;Kabupaten Klungkung;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
Surabaya;Bali;Kabupaten Tabanan;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
TEGAL;Bali;Kota Denpasar;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
TEGAL;Bali;Kabupaten Badung;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
TEGAL;Bali;Kabupaten Bangli;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
TEGAL;Bali;Kabupaten Buleleng;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
TEGAL;Bali;Kabupaten Gianyar;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
TEGAL;Bali;Kabupaten Jembrana;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
TEGAL;Bali;Kabupaten Karangasem;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
TEGAL;Bali;Kabupaten Klungkung;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
TEGAL;Bali;Kabupaten Tabanan;;;RADO;MT-TNG-04;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANJARMASIN;Bali;Kota Denpasar;;;MB AMANAHKU;MB-BDJ-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANJARMASIN;Bali;Kabupaten Badung;;;MB AMANAHKU;MB-BDJ-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANJARMASIN;Bali;Kabupaten Bangli;;;MB AMANAHKU;MB-BDJ-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANJARMASIN;Bali;Kabupaten Buleleng;;;MB AMANAHKU;MB-BDJ-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANJARMASIN;Bali;Kabupaten Gianyar;;;MB AMANAHKU;MB-BDJ-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANJARMASIN;Bali;Kabupaten Jembrana;;;MB AMANAHKU;MB-BDJ-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANJARMASIN;Bali;Kabupaten Karangasem;;;MB AMANAHKU;MB-BDJ-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANJARMASIN;Bali;Kabupaten Klungkung;;;MB AMANAHKU;MB-BDJ-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
BANJARMASIN;Bali;Kabupaten Tabanan;;;MB AMANAHKU;MB-BDJ-02;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
MAKASSAR;Bali;Kota Denpasar;;;KLIK MAKASSAR;MB-UPG-05;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
MAKASSAR;Bali;Kabupaten Badung;;;KLIK MAKASSAR;MB-UPG-05;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
MAKASSAR;Bali;Kabupaten Bangli;;;KLIK MAKASSAR;MB-UPG-05;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
MAKASSAR;Bali;Kabupaten Buleleng;;;KLIK MAKASSAR;MB-UPG-05;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
MAKASSAR;Bali;Kabupaten Gianyar;;;KLIK MAKASSAR;MB-UPG-05;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
MAKASSAR;Bali;Kabupaten Jembrana;;;KLIK MAKASSAR;MB-UPG-05;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
MAKASSAR;Bali;Kabupaten Karangasem;;;KLIK MAKASSAR;MB-UPG-05;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
MAKASSAR;Bali;Kabupaten Klungkung;;;KLIK MAKASSAR;MB-UPG-05;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
MAKASSAR;Bali;Kabupaten Tabanan;;;KLIK MAKASSAR;MB-UPG-05;WH NAROGONG;MPW-JKT-01;GINTA CARGO;MT-JKT-13;;;;;;;GINTA CARGO;MT-JKT-13
MATARAM;Bali;Kota Denpasar;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
MATARAM;Bali;Kabupaten Badung;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
MATARAM;Bali;Kabupaten Bangli;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
MATARAM;Bali;Kabupaten Buleleng;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
MATARAM;Bali;Kabupaten Gianyar;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
MATARAM;Bali;Kabupaten Jembrana;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
MATARAM;Bali;Kabupaten Karangasem;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
MATARAM;Bali;Kabupaten Klungkung;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
MATARAM;Bali;Kabupaten Tabanan;;;GINTA CARGO;MT-JKT-13;;;;;;;;;;;GINTA CARGO;MT-JKT-13
AMBON;Bali;Kota Denpasar;;;Marius;MB-AMB-01;GINTA CARGO;MT-JKT-13;;;;;;;;;GINTA CARGO;MT-JKT-13
AMBON;Bali;Kabupaten Badung;;;Marius;MB-AMB-01;GINTA CARGO;MT-JKT-13;;;;;;;;;GINTA CARGO;MT-JKT-13
AMBON;Bali;Kabupaten Bangli;;;Marius;MB-AMB-01;GINTA CARGO;MT-JKT-13;;;;;;;;;GINTA CARGO;MT-JKT-13
AMBON;Bali;Kabupaten Buleleng;;;Marius;MB-AMB-01;GINTA CARGO;MT-JKT-13;;;;;;;;;GINTA CARGO;MT-JKT-13
AMBON;Bali;Kabupaten Gianyar;;;Marius;MB-AMB-01;GINTA CARGO;MT-JKT-13;;;;;;;;;GINTA CARGO;MT-JKT-13
AMBON;Bali;Kabupaten Jembrana;;;Marius;MB-AMB-01;GINTA CARGO;MT-JKT-13;;;;;;;;;GINTA CARGO;MT-JKT-13
AMBON;Bali;Kabupaten Karangasem;;;Marius;MB-AMB-01;GINTA CARGO;MT-JKT-13;;;;;;;;;GINTA CARGO;MT-JKT-13
AMBON;Bali;Kabupaten Klungkung;;;Marius;MB-AMB-01;GINTA CARGO;MT-JKT-13;;;;;;;;;GINTA CARGO;MT-JKT-13
AMBON;Bali;Kabupaten Tabanan;;;Marius;MB-AMB-01;GINTA CARGO;MT-JKT-13;;;;;;;;;GINTA CARGO;MT-JKT-13
NAROGONG;Banten;;;;BRAVO LOG;MTM-JKT-00;;;;;;;;;;;BRAVO LOG;MTM-JKT-00
PONTIANAK;Banten;;;;PSP LOGISTIK;MT-BKS-04;WH NAROGONG;MPW-JKT-01;BRAVO LOG;MTM-JKT-00;;;;;;;BRAVO LOG;MTM-JKT-00
