identifier,bsn_code,name
"1","MBO","Arongan Lambalek"
"2","MBO","Bubon"
"3","MBO","Johan Pahlawan"
"4","MBO","Kaway XVI"
"5","MBO","Meureubo"
"6","MBO","Pante Ceureumen (Pantai Ceuremen)"
"7","MBO","Panton Reu"
"8","MBO","Samatiga"
"9","MBO","Sungai Mas"
"10","MBO","Woyla"
"11","MBO","Woyla Barat"
"12","MBO","Woyla Timur"
"13","BPD","Babah Rot"
"14","BPD","Blang Pidie"
"15","BPD","Jeumpa"
"16","BPD","Kuala Batee"
"17","BPD","Lembah Sabil"
"18","BPD","Manggeng"
"19","BPD","Setia"
"20","BPD","Susoh"
"21","BPD","Tangan-Tangan"
"22","JTH","Baitussalam"
"23","JTH","Blank Bintang"
"24","JTH","Darul Imarah"
"25","JTH","Darul Kamal"
"26","JTH","Darussalam"
"27","JTH","Indrapuri"
"28","JTH","Ingin Jaya"
"29","JTH","Kota Cot Glie (Kuta Cot Glie)"
"30","JTH","Kota Jantho"
"31","JTH","Kota Malaka (Kuta Malaka)"
"32","JTH","Krueng Barona Jaya"
"33","JTH","Kuta Baro"
"34","JTH","Lembah Seulawah"
"35","JTH","Leupung"
"36","JTH","Lhoknga (Lho'nga)"
"37","JTH","Lhoong"
"38","JTH","Mantasiek (Montasik)"
"39","JTH","Mesjid Raya"
"40","JTH","Peukan Bada"
"41","JTH","Pulo Aceh"
"42","JTH","Seulimeum"
"43","JTH","Simpang Tiga"
"44","JTH","Suka Makmur"
"45","CAG","Darul Hikmah"
"46","CAG","Indra Jaya"
"47","CAG","Jaya"
"48","CAG","Keude Panga"
"49","CAG","Krueng Sabee"
"50","CAG","Pasie Raya"
"51","CAG","Sampoiniet"
"52","CAG","Setia Bakti"
"53","CAG","Teunom"
"54","TTN","Bakongan"
"55","TTN","Bakongan Timur"
"56","TTN","Kluet Selatan"
"57","TTN","Kluet Tengah"
"58","TTN","Kluet Timur"
"59","TTN","Kluet Utara"
"60","TTN","Kota Bahagia"
"61","TTN","Labuhan Haji"
"62","TTN","Labuhan Haji Barat"
"63","TTN","Labuhan Haji Timur"
"64","TTN","Meukek"
"65","TTN","Pasie Raja"
"66","TTN","Sama Dua"
"67","TTN","Sawang"
"68","TTN","Tapak Tuan"
"69","TTN","Trumon"
"70","TTN","Trumon Tengah"
"71","TTN","Trumon Timur"
"72","SKL","Danau Paris"
"73","SKL","Gunung Meriah (Mariah)"
"74","SKL","Kota Baharu"
"75","SKL","Kuala Baru"
"76","SKL","Pulau Banyak"
"77","SKL","Pulau Banyak Barat"
"78","SKL","Simpang Kanan"
"79","SKL","Singkil"
"80","SKL","Singkil Utara"
