province_iso,regency,capital,bsn_code
ID-AC,Kabupaten Aceh Barat,Meulaboh,MBO
ID-AC,Kabupaten Aceh Barat Daya,Blangpidie,BPD
ID-AC,Kabupaten Aceh Besar,Jantho,JTH
ID-AC,Kabupaten Aceh Jaya,Calang,CAG
ID-AC,Kabupaten Aceh Selatan,Tapak Tuan,TTN
ID-AC,Kabupaten Aceh Singkil,Singkil,SKL
ID-AC,Kabupaten Aceh Tamiang,Karang Baru,KRB
ID-AC,Kabupaten Aceh Tengah,Takengon,TKN
ID-AC,Kabupaten Aceh Tenggara,Kutacane,KTN
ID-AC,Kabupaten Aceh Timur,Langsa,LGS-KAB
ID-AC,Kabupaten Aceh Utara,Lhoksukon,LSK
ID-AC,Kabupaten Bener Meriah,Simpang Tiga Redelong,STR
ID-AC,Kabupaten Bireuen,Bireuen,BIR
ID-AC,Kabupaten Gayo Lues,Blangkejeren,BKJ
ID-AC,Kabupaten Nagan Raya,Suka Makmue,SKM
ID-AC,Kabupaten Pidie,Sigli,SGI
ID-AC,Kabupaten Pidie Jaya,Meureundu,MRN
ID-AC,Kabupaten Simeulue,Sinabang,SNB
ID-AC,Kota Banda Aceh,Banda Aceh,BNA
ID-AC,Kota Langsa,Langsa,LGS
ID-AC,Kota Lhokseumawe,Lhokseumawe,LSM
ID-AC,Kota Sabang,Sabang,SAB
ID-AC,Kota Subulussalam,Subulussalam,SUS
ID-SU,Kabupaten Asahan,Kisaran,KIS
ID-SU,Kabupaten Batu Bara,Lima Puluh,LMP
ID-SU,Kabupaten Dairi,Sidikalang,SDK
ID-SU,Kabupaten Deli Serdang,Lubuk Pakam,LBP
ID-SU,Kabupaten Humbang Hasundutan,Dolok Sanggul,DLS
ID-SU,Kabupaten Karo,Kabanjahe,KBJ
ID-SU,Kabupaten Labuhanbatu,Rantau Prapat,RAP
ID-SU,Kabupaten Labuhanbatu Selatan,Kota Pinang,KPI
ID-SU,Kabupaten Labuhanbatu Utara,Aek Kanopan,AKK
ID-SU,Kabupaten Langkat,Stabat,STB
ID-SU,Kabupaten Mandailing Natal,Panyabungan,PYB
ID-SU,Kabupaten Nias,Gunungsitoli,GST-KAB
ID-SU,Kabupaten Nias Barat,Lahomi,LHM
ID-SU,Kabupaten Nias Selatan,Teluk Dalam,TLD
ID-SU,Kabupaten Nias Utara,Lotu,LTU
ID-SU,Kabupaten Padang Lawas,Sibuhuan,SBH
ID-SU,Kabupaten Padang Lawas Utara,Gunung Tua,GNT
ID-SU,Kabupaten Pakpak Bharat,Salak,SAL
ID-SU,Kabupaten Samosir,Pangururan,PRR
ID-SU,Kabupaten Serdang Bedagai,Sei Rampah,SRH
ID-SU,Kabupaten Simalungun,Pematang Siantar,PMS-KAB
ID-SU,Kabupaten Tapanuli Selatan,Padang Sidempuan,PSP-KAB
ID-SU,Kabupaten Tapanuli Tengah,Sibolga,SBG-KAB
ID-SU,Kabupaten Tapanuli Utara,Tarutung,TRT
ID-SU,Kabupaten Toba Samosir,Balige,BLG
ID-SU,Kota Binjai,Binjai,BNJ
ID-SU,Kota Gunungsitoli,Gunungsitoli,GST
ID-SU,Kota Medan,Medan,MDN
