province_name,province_code,regency_name,capital,regency_code,district,sub_district,zip_code
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Cilandak","Cilandak Barat","12430"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Cilandak","Cipete Selatan","12410"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Cilandak","Gandaria Selatan","12420"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Cilandak","Lebak Bulus","12440"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Cilandak","Pondok Labu","12450"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Jagakarsa","Ciganjur","12630"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Jagakarsa","Cipedak","12630"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Jagakarsa","Jagakarsa","12620"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Jagakarsa","Lenteng Agung","12630"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Jagakarsa","Srengseng Sawah","12640"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Jagakarsa","Tanjung Barat","12530"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Kebayoran Baru","Cipete Utara","12150"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Kebayoran Baru","Gandaria Utara","12140"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Kebayoran Baru","Gunung","12120"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Kebayoran Baru","Kramat Pela","12130"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Kebayoran Baru","Melawai","12160"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Kebayoran Baru","Petogogan","12170"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Kebayoran Baru","Pulo","12160"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Kebayoran Baru","Rawa Barat","12180"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Kebayoran Baru","Selong","12110"
"DKI Jakarta",ID-JK,"Kota Adm. Jakarta Selatan","Kebayoran Baru",KYB,"Kebayoran Baru","Senayan","12190"
