"bsn_code","zip_code","tier_1","tier_2","tier_3","tier_4","tier_5","tier_6","tier_7","tier_8","tier_9","tier_10","service_code"
"KYB","60182","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60183","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60184","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60199","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60192","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60198","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60191","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60174","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60172","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60171","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60173","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60124","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60125","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60123","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60122","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60225","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60224","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60226","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60234","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60235","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60231","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60271","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60275","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60273","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60272","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60274","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60286","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60284","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60281","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60282","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60285","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60283","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60294","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60293","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60232","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60233","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60221","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60222","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60223","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60127","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60128","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60126","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60129","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60179","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60176","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60175","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60178","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60177","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60214","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60212","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60211","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60213","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60215","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60113","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60114","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60112","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60116","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60115","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60161","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60163","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60162","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60164","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60165","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60197","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60196","5000","4500","4000","3500","3000","","","","","","PGD"
"KYB","60298","5000","4500","4000","3500","3000","","","","","","PGD"
